,date,Home_Team,Score,Away_Team
226,11-11-2023,Lecce,2 - 2,Milan
227,27-11-2023,Verona,2 - 2,Lecce
228,03-12-2023,Lecce,1 - 1,Bologna
229,11-12-2023,Empoli,1 - 1,Lecce
230,16-12-2023,Lecce,2 - 1,Frosinone
231,23-12-2023,Inter,2 - 0,Lecce
232,30-12-2023,Atalanta,1 - 0,Lecce
233,06-01-2024,Lecce,1 - 1,Cagliari
234,14-01-2024,Lazio,1 - 0,Lecce
235,21-01-2024,Lecce,0 - 3,Juventus
236,28-01-2024,Genoa,? - ?,Lecce
237,21-08-2023,Bologna,0 - 2,Milan
238,26-08-2023,Milan,4 - 1,Torino
239,01-09-2023,Roma,1 - 2,Milan
240,16-09-2023,Inter,5 - 1,Milan
241,23-09-2023,Milan,1 - 0,Verona
242,27-09-2023,Cagliari,1 - 3,Milan
243,30-09-2023,Milan,2 - 0,Lazio
244,07-10-2023,Genoa,0 - 1,Milan
245,22-10-2023,Milan,0 - 1,Juventus
246,29-10-2023,Napoli,2 - 2,Milan
247,04-11-2023,Milan,0 - 1,Udinese
248,11-11-2023,Lecce,2 - 2,Milan
249,25-11-2023,Milan,1 - 0,Fiorentina
250,02-12-2023,Milan,3 - 1,Frosinone
251,09-12-2023,Atalanta,3 - 2,Milan
252,17-12-2023,Milan,3 - 0,Monza
253,22-12-2023,Salernitana,2 - 2,Milan
254,30-12-2023,Milan,1 - 0,Sassuolo
255,07-01-2024,Empoli,0 - 3,Milan
256,14-01-2024,Milan,3 - 1,Roma
257,20-01-2024,Udinese,2 - 3,Milan
258,27-01-2024,Milan,? - ?,Bologna
259,19-08-2023,Inter,2 - 0,Monza
260,26-08-2023,Monza,2 - 0,Empoli
261,02-09-2023,Atalanta,3 - 0,Monza
262,17-09-2023,Monza,1 - 1,Lecce
263,23-09-2023,Lazio,1 - 1,Monza
264,28-09-2023,Monza,0 - 0,Bologna
265,02-10-2023,Sassuolo,0 - 1,Monza
266,08-10-2023,Monza,3 - 0,Salernitana
267,22-10-2023,Roma,1 - 0,Monza
268,29-10-2023,Monza,1 - 1,Udinese
269,05-11-2023,Verona,1 - 3,Monza
270,11-11-2023,Monza,1 - 1,Torino
271,26-11-2023,Cagliari,1 - 1,Monza
272,01-12-2023,Monza,1 - 2,Juventus
273,10-12-2023,Monza,1 - 0,Genoa
274,17-12-2023,Milan,3 - 0,Monza
275,22-12-2023,Monza,0 - 1,Fiorentina
276,29-12-2023,Napoli,0 - 0,Monza
277,06-01-2024,Frosinone,2 - 3,Monza
278,13-01-2024,Monza,1 - 5,Inter
279,21-01-2024,Empoli,3 - 0,Monza
280,28-01-2024,Monza,? - ?,Sassuolo
281,19-08-2023,Frosinone,1 - 3,Napoli
282,27-08-2023,Napoli,2 - 0,Sassuolo
283,02-09-2023,Napoli,1 - 2,Lazio
284,16-09-2023,Genoa,2 - 2,Napoli
285,24-09-2023,Bologna,0 - 0,Napoli
286,27-09-2023,Napoli,4 - 1,Udinese
287,30-09-2023,Lecce,0 - 4,Napoli
288,08-10-2023,Napoli,1 - 3,Fiorentina
289,21-10-2023,Verona,1 - 3,Napoli
290,29-10-2023,Napoli,2 - 2,Milan
291,04-11-2023,Salernitana,0 - 2,Napoli
292,12-11-2023,Napoli,0 - 1,Empoli
293,25-11-2023,Atalanta,1 - 2,Napoli
294,03-12-2023,Napoli,0 - 3,Inter
295,08-12-2023,Juventus,1 - 0,Napoli
296,16-12-2023,Napoli,2 - 1,Cagliari
297,23-12-2023,Roma,2 - 0,Napoli
298,29-12-2023,Napoli,0 - 0,Monza
299,07-01-2024,Torino,3 - 0,Napoli
300,13-01-2024,Napoli,2 - 1,Salernitana
301,28-01-2024,Lazio,? - ?,Napoli
302,20-08-2023,Roma,2 - 2,Salernitana
303,26-08-2023,Verona,2 - 1,Roma
304,01-09-2023,Roma,1 - 2,Milan
305,17-09-2023,Roma,7 - 0,Empoli
306,24-09-2023,Torino,1 - 1,Roma
307,28-09-2023,Genoa,4 - 1,Roma
308,01-10-2023,Roma,2 - 0,Frosinone
309,08-10-2023,Cagliari,1 - 4,Roma
310,22-10-2023,Roma,1 - 0,Monza
311,29-10-2023,Inter,1 - 0,Roma
312,05-11-2023,Roma,2 - 1,Lecce
313,12-11-2023,Lazio,0 - 0,Roma
314,26-11-2023,Roma,3 - 1,Udinese
315,03-12-2023,Sassuolo,1 - 2,Roma
316,10-12-2023,Roma,1 - 1,Fiorentina
317,17-12-2023,Bologna,2 - 0,Roma
318,23-12-2023,Roma,2 - 0,Napoli
319,30-12-2023,Juventus,1 - 0,Roma
320,07-01-2024,Roma,1 - 1,Atalanta
321,14-01-2024,Milan,3 - 1,Roma
322,20-01-2024,Roma,2 - 1,Verona
323,29-01-2024,Salernitana,? - ?,Roma
324,20-08-2023,Roma,2 - 2,Salernitana
325,28-08-2023,Salernitana,1 - 1,Udinese
326,03-09-2023,Lecce,2 - 0,Salernitana
327,18-09-2023,Salernitana,0 - 3,Torino
328,22-09-2023,Salernitana,1 - 1,Frosinone
329,27-09-2023,Empoli,1 - 0,Salernitana
