,date,Home_Team,Score,Away_Team
261,11-08-2023,Burnley,0 - 3,Man City
262,19-08-2023,Man City,1 - 0,Newcastle
263,27-08-2023,Sheffield United,1 - 2,Man City
264,02-09-2023,Man City,5 - 1,Fulham
265,16-09-2023,West Ham,1 - 3,Man City
266,23-09-2023,Man City,2 - 0,Nott'm Forest
267,30-09-2023,Wolves,2 - 1,Man City
268,08-10-2023,Arsenal,1 - 0,Man City
269,21-10-2023,Man City,2 - 1,Brighton
270,29-10-2023,Man United,0 - 3,Man City
271,04-11-2023,Man City,6 - 1,Bournemouth
272,12-11-2023,Chelsea,4 - 4,Man City
273,25-11-2023,Man City,1 - 1,Liverpool
274,03-12-2023,Man City,3 - 3,Tottenham
275,06-12-2023,Aston Villa,1 - 0,Man City
276,10-12-2023,Luton,1 - 2,Man City
277,16-12-2023,Man City,2 - 2,Crystal Palace
278,27-12-2023,Everton,1 - 3,Man City
279,30-12-2023,Man City,2 - 0,Sheffield United
280,13-01-2024,Newcastle,2 - 3,Man City
281,31-01-2024,Man City,? - ?,Burnley
282,14-08-2023,Man United,1 - 0,Wolves
283,19-08-2023,Tottenham,2 - 0,Man United
284,26-08-2023,Man United,3 - 2,Nott'm Forest
285,03-09-2023,Arsenal,3 - 1,Man United
286,16-09-2023,Man United,1 - 3,Brighton
287,23-09-2023,Burnley,0 - 1,Man United
288,30-09-2023,Man United,0 - 1,Crystal Palace
289,07-10-2023,Man United,2 - 1,Brentford
290,21-10-2023,Sheffield United,1 - 2,Man United
291,29-10-2023,Man United,0 - 3,Man City
292,04-11-2023,Fulham,0 - 1,Man United
293,11-11-2023,Man United,1 - 0,Luton
294,26-11-2023,Everton,0 - 3,Man United
295,02-12-2023,Newcastle,1 - 0,Man United
296,06-12-2023,Man United,2 - 1,Chelsea
297,09-12-2023,Man United,0 - 3,Bournemouth
298,17-12-2023,Liverpool,0 - 0,Man United
299,23-12-2023,West Ham,2 - 0,Man United
300,26-12-2023,Man United,3 - 2,Aston Villa
301,30-12-2023,Nott'm Forest,2 - 1,Man United
302,14-01-2024,Man United,2 - 2,Tottenham
303,01-02-2024,Wolves,? - ?,Man United
304,12-08-2023,Newcastle,5 - 1,Aston Villa
305,19-08-2023,Man City,1 - 0,Newcastle
306,27-08-2023,Newcastle,1 - 2,Liverpool
307,02-09-2023,Brighton,3 - 1,Newcastle
308,16-09-2023,Newcastle,1 - 0,Brentford
309,24-09-2023,Sheffield United,0 - 8,Newcastle
310,30-09-2023,Newcastle,2 - 0,Burnley
311,08-10-2023,West Ham,2 - 2,Newcastle
312,21-10-2023,Newcastle,4 - 0,Crystal Palace
313,28-10-2023,Wolves,2 - 2,Newcastle
314,04-11-2023,Newcastle,1 - 0,Arsenal
315,11-11-2023,Bournemouth,2 - 0,Newcastle
316,25-11-2023,Newcastle,4 - 1,Chelsea
317,02-12-2023,Newcastle,1 - 0,Man United
318,07-12-2023,Everton,3 - 0,Newcastle
319,10-12-2023,Tottenham,4 - 1,Newcastle
320,16-12-2023,Newcastle,3 - 0,Fulham
321,23-12-2023,Luton,1 - 0,Newcastle
322,26-12-2023,Newcastle,1 - 3,Nott'm Forest
323,01-01-2024,Liverpool,4 - 2,Newcastle
324,13-01-2024,Newcastle,2 - 3,Man City
325,30-01-2024,Aston Villa,? - ?,Newcastle
326,12-08-2023,Arsenal,2 - 1,Nott'm Forest
327,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
328,26-08-2023,Man United,3 - 2,Nott'm Forest
329,02-09-2023,Chelsea,0 - 1,Nott'm Forest
330,18-09-2023,Nott'm Forest,1 - 1,Burnley
331,23-09-2023,Man City,2 - 0,Nott'm Forest
332,01-10-2023,Nott'm Forest,1 - 1,Brentford
333,07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
334,21-10-2023,Nott'm Forest,2 - 2,Luton
335,29-10-2023,Liverpool,3 - 0,Nott'm Forest
336,05-11-2023,Nott'm Forest,2 - 0,Aston Villa
337,12-11-2023,West Ham,3 - 2,Nott'm Forest
338,25-11-2023,Nott'm Forest,2 - 3,Brighton
339,02-12-2023,Nott'm Forest,0 - 1,Everton
340,06-12-2023,Fulham,5 - 0,Nott'm Forest
341,09-12-2023,Wolves,1 - 1,Nott'm Forest
342,15-12-2023,Nott'm Forest,0 - 2,Tottenham
343,23-12-2023,Nott'm Forest,2 - 3,Bournemouth
344,26-12-2023,Newcastle,1 - 3,Nott'm Forest
345,30-12-2023,Nott'm Forest,2 - 1,Man United
346,20-01-2024,Brentford,3 - 2,Nott'm Forest
347,30-01-2024,Nott'm Forest,? - ?,Arsenal
348,12-08-2023,Sheffield United,0 - 1,Crystal Palace
349,18-08-2023,Nott'm Forest,2 - 1,Sheffield United
350,27-08-2023,Sheffield United,1 - 2,Man City
351,02-09-2023,Sheffield United,2 - 2,Everton
352,16-09-2023,Tottenham,2 - 1,Sheffield United
353,24-09-2023,Sheffield United,0 - 8,Newcastle
354,30-09-2023,West Ham,2 - 0,Sheffield United
355,07-10-2023,Fulham,3 - 1,Sheffield United
356,21-10-2023,Sheffield United,1 - 2,Man United
357,28-10-2023,Arsenal,5 - 0,Sheffield United
358,04-11-2023,Sheffield United,2 - 1,Wolves
359,12-11-2023,Brighton,1 - 1,Sheffield United
360,25-11-2023,Sheffield United,1 - 3,Bournemouth
361,02-12-2023,Burnley,5 - 0,Sheffield United
362,06-12-2023,Sheffield United,0 - 2,Liverpool
363,09-12-2023,Sheffield United,1 - 0,Brentford
364,16-12-2023,Chelsea,2 - 0,Sheffield United
365,22-12-2023,Aston Villa,1 - 1,Sheffield United
366,26-12-2023,Sheffield United,2 - 3,Luton
367,30-12-2023,Man City,2 - 0,Sheffield United
368,21-01-2024,Sheffield United,2 - 2,West Ham
369,30-01-2024,Crystal Palace,? - ?,Sheffield United
370,13-08-2023,Brentford,2 - 2,Tottenham
371,19-08-2023,Tottenham,2 - 0,Man United
372,26-08-2023,Bournemouth,0 - 2,Tottenham
373,02-09-2023,Burnley,2 - 5,Tottenham
374,16-09-2023,Tottenham,2 - 1,Sheffield United
375,24-09-2023,Arsenal,2 - 2,Tottenham
376,30-09-2023,Tottenham,2 - 1,Liverpool
377,07-10-2023,Luton,0 - 1,Tottenham
378,23-10-2023,Tottenham,2 - 0,Fulham
379,27-10-2023,Crystal Palace,1 - 2,Tottenham
380,06-11-2023,Tottenham,1 - 4,Chelsea
381,11-11-2023,Wolves,2 - 1,Tottenham
382,26-11-2023,Tottenham,1 - 2,Aston Villa
383,03-12-2023,Man City,3 - 3,Tottenham
384,07-12-2023,Tottenham,1 - 2,West Ham
385,10-12-2023,Tottenham,4 - 1,Newcastle
386,15-12-2023,Nott'm Forest,0 - 2,Tottenham
387,23-12-2023,Tottenham,2 - 1,Everton
388,28-12-2023,Brighton,4 - 2,Tottenham
389,31-12-2023,Tottenham,3 - 1,Bournemouth
390,14-01-2024,Man United,2 - 2,Tottenham
391,31-01-2024,Tottenham,? - ?,Brentford
392,12-08-2023,Bournemouth,1 - 1,West Ham
393,20-08-2023,West Ham,3 - 1,Chelsea
394,26-08-2023,Brighton,1 - 3,West Ham
395,01-09-2023,Luton,1 - 2,West Ham
396,16-09-2023,West Ham,1 - 3,Man City
397,24-09-2023,Liverpool,3 - 1,West Ham
398,30-09-2023,West Ham,2 - 0,Sheffield United
399,08-10-2023,West Ham,2 - 2,Newcastle
400,22-10-2023,Aston Villa,4 - 1,West Ham
401,29-10-2023,West Ham,0 - 1,Everton
402,04-11-2023,Brentford,3 - 2,West Ham
403,12-11-2023,West Ham,3 - 2,Nott'm Forest
404,25-11-2023,Burnley,1 - 2,West Ham
405,03-12-2023,West Ham,1 - 1,Crystal Palace
406,07-12-2023,Tottenham,1 - 2,West Ham
407,10-12-2023,Fulham,5 - 0,West Ham
408,17-12-2023,West Ham,3 - 0,Wolves
409,23-12-2023,West Ham,2 - 0,Man United
410,28-12-2023,Arsenal,0 - 2,West Ham
411,02-01-2024,West Ham,0 - 0,Brighton
412,21-01-2024,Sheffield United,2 - 2,West Ham
413,01-02-2024,West Ham,? - ?,Bournemouth
414,14-08-2023,Man United,1 - 0,Wolves
415,19-08-2023,Wolves,1 - 4,Brighton
416,26-08-2023,Everton,0 - 1,Wolves
417,03-09-2023,Crystal Palace,3 - 2,Wolves
418,16-09-2023,Wolves,1 - 3,Liverpool
419,23-09-2023,Luton,1 - 1,Wolves
420,30-09-2023,Wolves,2 - 1,Man City
421,08-10-2023,Wolves,1 - 1,Aston Villa
422,21-10-2023,Bournemouth,1 - 2,Wolves
423,28-10-2023,Wolves,2 - 2,Newcastle
424,04-11-2023,Sheffield United,2 - 1,Wolves
425,11-11-2023,Wolves,2 - 1,Tottenham
426,27-11-2023,Fulham,3 - 2,Wolves
427,02-12-2023,Arsenal,2 - 1,Wolves
428,05-12-2023,Wolves,1 - 0,Burnley
429,09-12-2023,Wolves,1 - 1,Nott'm Forest
430,17-12-2023,West Ham,3 - 0,Wolves
431,24-12-2023,Wolves,2 - 1,Chelsea
432,27-12-2023,Brentford,1 - 4,Wolves
433,30-12-2023,Wolves,3 - 0,Everton
434,22-01-2024,Brighton,0 - 0,Wolves
435,01-02-2024,Wolves,? - ?,Man United
